,rank,discipline,yrs.since.phd,yrs.service,sex,salary
0,Prof,B,19,18,Male,139750.0
1,Prof,B,20,16,Male,173200.0
2,AsstProf,B,4,3,Male,79750.0
3,Prof,B,45,39,Male,115000.0
4,Prof,B,40,41,Male,141500.0
5,AssocProf,B,6,6,Male,97000.0
6,Prof,B,30,23,Male,175000.0
7,Prof,B,45,45,Male,147765.0
8,Prof,B,21,20,Male,119250.0
9,Prof,B,18,18,Female,129000.0
10,AssocProf,B,12,8,Male,119800.0
11,AsstProf,B,7,2,Male,79800.0
12,AsstProf,B,1,1,Male,77700.0
13,AsstProf,B,2,0,Male,78000.0
14,Prof,B,20,18,Male,104800.0
15,Prof,B,12,3,Male,117150.0
16,Prof,B,19,20,Male,101000.0
17,Prof,A,38,34,Male,103450.0
18,Prof,A,37,23,Male,124750.0
19,Prof,A,39,36,Female,137000.0
20,Prof,A,31,26,Male,89565.0
21,Prof,A,36,31,Male,102580.0
22,Prof,A,34,30,Male,93904.0
23,Prof,A,24,19,Male,113068.0
24,AssocProf,A,13,8,Female,74830.0
25,Prof,A,21,8,Male,106294.0
26,Prof,A,35,23,Male,134885.0
27,AsstProf,B,5,3,Male,82379.0
28,AsstProf,B,11,0,Male,77000.0
29,Prof,B,12,8,Male,118223.0
30,Prof,B,20,4,Male,132261.0
31,AsstProf,B,7,2,Male,79916.0
32,Prof,B,13,9,Male,117256.0
33,AsstProf,B,4,2,Male,80225.0
34,AsstProf,B,4,2,Female,80225.0
35,AsstProf,B,5,0,Female,77000.0
36,Prof,B,22,21,Male,155750.0
37,AsstProf,B,7,4,Male,86373.0
38,Prof,B,41,31,Male,125196.0
39,AssocProf,B,9,9,Male,100938.0
40,Prof,B,23,2,Male,146500.0
41,AssocProf,B,23,23,Male,93418.0
42,Prof,B,40,27,Male,101299.0
43,Prof,B,38,38,Male,231545.0
44,Prof,B,19,19,Male,94384.0
45,Prof,B,25,15,Male,114778.0
46,Prof,B,40,28,Male,98193.0
47,Prof,B,23,19,Female,151768.0
48,Prof,B,25,25,Female,140096.0
49,AsstProf,B,1,1,Male,70768.0
50,Prof,B,28,28,Male,126621.0
51,Prof,B,12,11,Male,108875.0
52,AsstProf,B,11,3,Female,74692.0
53,Prof,B,16,9,Male,106639.0
54,AssocProf,B,12,11,Male,103760.0
55,AssocProf,B,14,5,Male,83900.0
56,Prof,B,23,21,Male,117704.0
57,AssocProf,B,9,8,Male,90215.0
58,AssocProf,B,10,9,Male,100135.0
59,AsstProf,B,8,3,Male,75044.0
60,AssocProf,B,9,8,Male,90304.0
61,AsstProf,B,3,2,Male,75243.0
62,Prof,B,33,31,Male,109785.0
63,AssocProf,B,11,11,Female,103613.0
64,AsstProf,B,4,3,Male,68404.0
65,AssocProf,B,9,8,Male,100522.0
66,Prof,B,22,12,Male,101000.0
67,Prof,B,35,31,Male,99418.0
68,Prof,B,17,17,Female,111512.0
69,Prof,B,28,36,Male,91412.0
70,Prof,B,17,2,Male,126320.0
71,Prof,B,45,45,Male,146856.0
72,Prof,B,29,19,Male,100131.0
73,Prof,B,35,34,Male,92391.0
74,Prof,B,28,23,Male,113398.0
75,AsstProf,B,8,3,Male,73266.0
76,Prof,B,17,3,Male,150480.0
77,Prof,B,26,19,Male,193000.0
78,AsstProf,B,3,1,Male,86100.0
79,AsstProf,B,6,2,Male,84240.0
80,Prof,B,43,28,Male,150743.0
81,Prof,B,17,16,Male,135585.0
82,Prof,B,22,20,Male,144640.0
83,AsstProf,B,6,2,Male,88825.0
84,Prof,B,17,18,Female,122960.0
85,Prof,B,15,14,Male,132825.0
86,Prof,B,37,37,Male,152708.0
87,AsstProf,B,2,2,Male,88400.0
88,Prof,B,25,25,Male,172272.0
89,AssocProf,B,9,7,Male,107008.0
90,AsstProf,B,10,5,Female,97032.0
91,AssocProf,B,10,7,Male,105128.0
92,AssocProf,B,10,7,Male,105631.0
93,Prof,B,38,38,Male,166024.0
94,Prof,B,21,20,Male,123683.0
