,PassengerId,Survived_(y),Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,1,1,1,1,1,1,1,1,1,1,1,1
1,2,2,2,2,2,2,1,1,2,2,1,2
2,3,2,1,3,2,3,2,1,3,3,2,1
3,4,2,2,4,2,4,1,1,4,4,2,1
4,5,1,1,5,1,4,2,1,5,5,3,1
5,6,1,1,6,1,5,2,1,6,6,3,3
6,7,1,2,7,1,6,2,1,7,7,3,1
7,8,1,1,8,1,7,3,2,8,8,4,1
8,9,2,1,9,2,8,2,3,9,9,4,1
9,10,2,3,10,2,9,1,1,10,10,4,2
10,11,2,1,11,2,10,1,2,11,11,4,1
11,12,2,2,12,2,11,2,1,12,12,5,1
12,13,1,1,13,1,12,2,1,13,5,6,1
13,14,1,1,14,1,13,1,4,14,13,6,1
14,15,1,1,15,2,9,2,1,15,14,6,1
15,16,2,3,16,2,14,2,1,16,15,6,1
16,17,1,1,17,1,7,4,2,17,16,6,3
17,18,2,3,18,1,5,2,1,18,17,6,1
18,19,1,1,19,2,15,1,1,19,18,6,1
19,20,2,1,20,2,5,2,1,20,19,6,2
20,21,1,3,21,1,4,2,1,21,20,6,1
21,22,2,3,22,1,16,2,1,22,17,6,1
22,23,2,1,23,2,17,2,1,23,21,7,3
23,24,2,2,24,1,18,2,1,24,22,7,1
24,25,1,1,25,2,19,3,2,8,8,8,1
25,26,2,1,26,2,2,1,4,25,23,8,1
26,27,1,1,27,1,5,2,1,26,19,8,2
27,28,1,2,28,1,20,3,3,27,24,8,1
28,29,2,1,29,2,5,2,1,28,25,9,3
29,30,1,1,30,1,5,2,1,29,26,9,1
30,31,1,2,31,1,21,2,1,30,27,9,2
31,32,2,2,32,2,5,1,1,31,28,9,2
32,33,2,1,33,2,5,2,1,32,29,10,3
33,34,1,3,34,1,22,2,1,33,30,10,1
34,35,1,2,35,1,18,1,1,34,31,10,2
35,36,1,2,36,1,23,1,1,35,32,10,1
36,37,2,1,37,1,5,2,1,36,33,10,2
37,38,1,1,38,1,24,2,1,37,5,10,1
38,39,1,1,39,2,25,5,1,38,18,10,1
39,40,2,1,40,2,9,1,1,39,34,10,2
40,41,1,1,41,2,21,1,1,40,35,10,1
41,42,1,3,42,2,8,1,1,41,36,10,1
42,43,1,1,43,1,5,2,1,42,26,10,2
43,44,2,3,44,2,26,1,3,43,37,10,2
44,45,2,1,45,2,20,2,1,44,25,10,3
45,46,1,1,46,1,5,2,1,45,5,10,1
46,47,1,1,47,1,5,1,1,46,38,10,3
47,48,2,1,48,2,5,2,1,47,29,10,3
48,49,1,1,49,1,5,5,1,48,39,10,2
49,50,1,1,50,2,25,1,1,49,40,10,1
50,51,1,1,51,1,27,4,2,50,41,10,1
51,52,1,1,52,1,24,2,1,51,42,10,1
52,53,2,2,53,2,28,1,1,52,43,10,2
53,54,2,3,54,2,29,1,1,53,20,11,1
54,55,1,2,55,1,30,2,2,54,44,11,2
55,56,2,2,56,1,5,2,1,55,22,12,1
56,57,2,3,57,2,24,2,1,56,30,13,1
57,58,1,1,58,1,31,2,1,57,33,13,2
58,59,2,3,59,2,32,1,3,58,45,13,1
59,60,1,1,60,1,33,6,3,59,46,13,1
60,61,1,1,61,1,1,2,1,60,33,13,2
61,62,2,2,62,2,2,2,1,61,47,13,2
62,63,1,2,63,1,34,1,1,62,48,14,1
63,64,1,1,64,1,10,3,3,63,49,15,1
64,65,1,2,65,1,5,2,1,64,27,15,2
65,66,2,1,66,1,5,1,2,65,50,15,2
66,67,2,3,67,2,29,2,1,66,30,15,1
67,68,1,1,68,1,20,2,1,67,51,16,1
68,69,2,1,69,2,35,4,3,68,3,16,1
69,70,1,1,70,1,3,5,1,69,52,16,1
70,71,1,3,71,1,36,2,1,70,30,16,1
71,72,1,1,72,2,37,6,3,59,46,16,1
72,73,1,3,73,1,24,2,1,71,53,16,1
73,74,1,1,74,1,3,1,1,72,54,16,2
74,75,2,1,75,1,36,2,1,73,55,16,1
75,76,1,1,76,1,38,2,1,74,56,16,1
76,77,1,1,77,1,5,2,1,75,26,8,1
77,78,1,1,78,1,5,2,1,76,5,8,1
78,79,2,3,79,1,39,2,3,77,57,8,1
79,80,2,1,80,2,40,2,1,78,58,8,1
